IP1,IP2,IP3,IP4,IP5,IP6,Average,Predikat
3.85,3.55,3.50,3.63,3.74,3.91,3.70,Cumlaude
3.17,3.63,2.10,3.60,2.00,3.96,3.08,Sangat Memuaskan
3.61,3.88,3.52,3.97,3.79,3.95,3.79,Cumlaude
3.99,3.51,3.66,3.61,3.74,3.95,3.74,Cumlaude
3.69,3.73,3.71,3.94,3.95,3.90,3.82,Cumlaude
3.51,3.64,3.94,3.83,3.61,3.56,3.68,Cumlaude
3.31,2.36,2.16,3.36,3.69,3.89,3.13,Sangat Memuaskan
3.75,3.93,3.55,3.74,3.97,3.77,3.79,Cumlaude
3.70,3.65,3.52,3.63,3.57,3.74,3.63,Cumlaude
3.78,3.74,3.51,3.94,3.52,3.65,3.69,Cumlaude
3.68,3.79,3.91,3.83,3.57,3.64,3.74,Cumlaude
3.55,2.84,2.66,3.01,2.55,2.56,2.86,Sangat Memuaskan
3.64,3.92,3.61,3.95,3.64,3.90,3.78,Cumlaude
3.71,3.72,3.84,3.88,3.98,3.69,3.80,Cumlaude
3.58,3.99,3.75,3.69,3.78,3.66,3.74,Cumlaude
3.98,3.76,3.62,3.80,3.78,3.61,3.76,Cumlaude
4.00,3.73,3.14,2.97,2.55,2.43,3.14,Sangat Memuaskan
3.91,3.95,3.63,3.71,3.52,3.67,3.73,Cumlaude
3.82,3.83,3.51,3.72,3.58,3.92,3.73,Cumlaude
3.57,3.73,3.76,3.63,3.77,3.63,3.68,Cumlaude
3.85,3.58,3.57,3.64,3.52,3.70,3.64,Cumlaude
3.43,3.95,3.91,3.60,2.05,2.27,3.20,Sangat Memuaskan
3.81,3.82,3.92,3.81,3.65,3.73,3.79,Cumlaude
3.79,3.53,3.57,3.96,3.65,3.94,3.74,Cumlaude
3.69,3.58,3.57,3.98,3.99,3.90,3.78,Cumlaude
3.75,3.82,3.74,3.89,3.52,3.52,3.71,Cumlaude
3.66,3.29,2.15,3.81,3.95,3.26,3.35,Sangat Memuaskan
3.93,3.58,3.95,3.67,3.86,3.53,3.75,Cumlaude
3.79,3.73,3.54,3.54,3.58,3.80,3.66,Cumlaude
3.86,3.78,3.93,3.68,3.92,3.76,3.82,Cumlaude
3.80,3.91,3.66,3.64,3.82,3.69,3.75,Cumlaude
3.73,2.11,3.60,2.71,3.49,3.60,3.21,Sangat Memuaskan
3.66,3.94,3.84,3.52,3.79,3.92,3.78,Cumlaude
3.75,3.75,3.89,3.83,3.95,3.57,3.79,Cumlaude
3.78,3.94,3.57,3.92,3.56,3.80,3.76,Cumlaude
3.94,3.76,3.64,3.50,3.58,3.66,3.68,Cumlaude
3.34,3.39,2.50,2.12,2.39,3.67,2.90,Sangat Memuaskan
3.94,3.89,3.82,3.52,3.84,3.56,3.76,Cumlaude
3.94,3.50,3.80,3.55,3.64,3.76,3.70,Cumlaude
3.95,3.75,3.67,3.97,3.56,3.70,3.77,Cumlaude
3.69,3.92,3.85,3.98,3.82,3.81,3.85,Cumlaude
3.09,2.99,3.54,2.02,2.02,3.65,2.89,Sangat Memuaskan
3.73,3.51,3.59,3.78,3.66,3.88,3.69,Cumlaude
3.83,3.59,3.60,3.84,3.86,3.90,3.77,Cumlaude
3.84,3.51,3.55,3.94,3.59,3.73,3.69,Cumlaude
3.56,3.97,3.58,3.98,4.00,3.58,3.78,Cumlaude
3.04,2.93,2.49,3.29,2.90,3.19,2.97,Sangat Memuaskan
3.90,3.68,3.62,3.96,3.94,3.57,3.78,Cumlaude
3.85,3.56,3.66,3.56,3.80,3.58,3.67,Cumlaude
3.88,3.99,3.99,3.84,3.69,3.95,3.89,Cumlaude
3.93,3.53,3.88,3.98,3.66,3.74,3.79,Cumlaude
3.51,3.07,3.41,3.06,2.60,2.12,2.96,Sangat Memuaskan
3.72,3.63,3.92,3.83,3.69,3.73,3.75,Cumlaude
3.57,3.60,3.77,3.83,3.61,3.94,3.72,Cumlaude
3.82,3.50,3.90,3.99,3.71,3.69,3.77,Cumlaude
3.94,3.75,3.60,3.70,3.74,3.81,3.76,Cumlaude
3.90,3.85,3.62,2.25,2.17,2.95,3.12,Sangat Memuaskan
3.91,3.86,3.94,3.54,3.84,3.50,3.77,Cumlaude
3.78,3.65,3.84,3.84,3.83,3.95,3.82,Cumlaude
3.55,3.60,3.94,3.93,4.00,3.75,3.79,Cumlaude
3.60,3.54,3.93,3.57,3.86,3.61,3.68,Cumlaude
3.35,3.30,3.69,2.73,2.56,2.39,3.00,Sangat Memuaskan
3.62,3.88,3.56,3.94,3.72,3.61,3.72,Cumlaude
3.62,3.98,3.98,3.73,3.83,3.67,3.80,Cumlaude
3.97,3.52,3.93,3.66,3.70,3.53,3.72,Cumlaude
3.65,3.79,3.78,3.89,3.73,3.95,3.80,Cumlaude
3.16,2.52,2.27,2.57,2.67,3.98,2.86,Sangat Memuaskan
3.61,3.60,3.92,3.97,3.81,3.86,3.80,Cumlaude
3.61,3.52,3.76,3.73,3.68,3.86,3.69,Cumlaude
3.87,3.56,3.71,3.82,3.85,3.60,3.74,Cumlaude
3.76,3.54,3.69,3.74,3.99,3.52,3.71,Cumlaude
3.31,3.02,2.61,2.33,3.19,2.14,2.77,Sangat Memuaskan
3.82,3.58,3.80,3.61,3.59,3.97,3.73,Cumlaude
3.60,3.90,3.89,3.82,3.57,3.88,3.78,Cumlaude
3.88,3.79,3.51,3.67,3.94,3.66,3.74,Cumlaude
3.58,3.88,3.73,3.90,3.99,3.65,3.79,Cumlaude
3.41,3.15,2.20,3.63,3.40,2.03,2.97,Sangat Memuaskan
3.92,3.52,3.80,3.69,3.62,3.79,3.72,Cumlaude
3.55,3.87,3.59,3.59,3.89,3.74,3.70,Cumlaude
3.63,3.60,3.83,3.57,3.61,3.85,3.68,Cumlaude
3.85,3.68,3.52,3.89,3.55,3.69,3.70,Cumlaude
3.68,2.81,3.03,3.81,2.19,2.53,3.01,Sangat Memuaskan
3.60,3.65,3.94,3.74,3.79,3.62,3.72,Cumlaude
3.60,3.83,3.69,3.97,3.76,3.95,3.80,Cumlaude
3.86,3.81,3.75,4.00,3.93,3.94,3.88,Cumlaude
3.79,3.76,3.80,3.58,3.86,3.92,3.79,Cumlaude
3.75,2.72,2.36,2.82,2.17,3.98,2.97,Sangat Memuaskan
3.79,3.68,3.71,3.87,3.92,3.79,3.79,Cumlaude
3.60,3.97,3.61,3.87,3.88,3.62,3.76,Cumlaude
3.74,3.59,3.86,3.84,3.94,3.57,3.76,Cumlaude
3.94,3.70,3.66,3.72,3.53,3.51,3.67,Cumlaude
3.61,2.40,3.73,2.56,2.58,3.26,3.02,Sangat Memuaskan
3.75,3.74,3.89,3.70,3.79,3.59,3.74,Cumlaude
3.85,3.94,3.53,3.77,3.69,3.80,3.77,Cumlaude
3.55,3.72,3.98,3.68,3.83,3.92,3.78,Cumlaude
3.73,3.79,3.90,3.58,3.81,3.50,3.72,Cumlaude
3.97,2.11,2.36,3.33,3.54,2.37,2.94,Sangat Memuaskan
3.92,3.90,3.72,3.83,3.83,3.83,3.84,Cumlaude
3.89,3.88,3.63,3.81,3.71,3.57,3.75,Cumlaude
3.93,3.63,3.83,3.83,3.52,3.96,3.78,Cumlaude
3.91,3.87,3.57,3.93,3.79,3.86,3.82,Cumlaude
3.26,2.15,2.91,3.81,2.79,2.61,2.92,Sangat Memuaskan
3.78,3.98,3.91,3.82,3.62,4.00,3.85,Cumlaude
3.97,3.59,3.89,3.80,3.73,3.87,3.81,Cumlaude
3.61,3.79,3.74,3.96,3.81,3.77,3.78,Cumlaude
3.91,3.86,3.83,3.91,3.74,3.63,3.81,Cumlaude
3.16,3.99,2.55,2.19,2.64,2.39,2.82,Sangat Memuaskan
4.00,3.98,3.71,3.80,3.67,3.79,3.83,Cumlaude
3.73,3.93,3.86,3.80,3.51,3.63,3.74,Cumlaude
3.96,3.99,3.75,3.54,3.75,3.87,3.81,Cumlaude
3.79,3.81,3.53,3.56,3.83,3.54,3.68,Cumlaude
3.13,3.00,2.66,2.60,3.43,3.89,3.12,Sangat Memuaskan
3.61,3.60,3.70,3.55,3.79,3.97,3.70,Cumlaude
4.00,3.71,3.82,3.54,3.86,3.86,3.80,Cumlaude
3.80,3.76,3.96,3.62,3.69,3.62,3.74,Cumlaude
3.55,3.64,3.81,3.77,3.94,3.89,3.76,Cumlaude
3.46,3.74,2.99,3.10,2.69,2.42,3.07,Sangat Memuaskan
3.70,3.76,3.53,3.84,3.57,3.91,3.72,Cumlaude
3.62,3.85,3.58,3.67,3.92,3.88,3.75,Cumlaude
3.52,3.99,3.81,3.98,3.73,4.00,3.84,Cumlaude
3.98,3.84,3.53,3.72,3.93,3.67,3.78,Cumlaude
3.25,3.00,2.28,2.08,2.19,3.58,2.73,Memuaskan
3.63,3.84,3.59,3.68,3.53,3.86,3.69,Cumlaude
3.53,3.91,3.56,3.83,3.51,3.69,3.67,Cumlaude
3.51,3.74,3.94,3.90,3.51,3.78,3.73,Cumlaude
3.90,3.76,3.85,4.00,3.77,3.81,3.85,Cumlaude
3.63,2.39,3.49,3.42,2.03,2.30,2.88,Sangat Memuaskan
3.62,3.56,3.96,3.51,3.85,3.67,3.69,Cumlaude
3.63,3.91,3.74,3.57,3.69,3.95,3.75,Cumlaude
3.90,3.72,3.54,3.81,3.91,3.91,3.80,Cumlaude
3.95,3.54,3.90,3.55,3.90,3.86,3.79,Cumlaude
3.09,2.92,3.97,2.03,2.38,3.83,3.04,Sangat Memuaskan
3.89,3.78,3.69,3.64,3.75,3.68,3.74,Cumlaude
3.86,3.84,3.53,3.87,3.58,3.92,3.77,Cumlaude
3.62,3.84,3.53,3.58,3.95,3.55,3.68,Cumlaude
3.57,3.89,3.93,3.80,3.87,3.92,3.83,Cumlaude
3.61,2.62,2.46,2.38,2.81,2.50,2.73,Memuaskan
3.86,3.81,3.80,3.67,3.70,3.94,3.80,Cumlaude
3.77,3.80,3.92,3.89,3.92,3.61,3.82,Cumlaude
3.59,3.90,3.54,3.89,3.58,3.72,3.70,Cumlaude
3.99,3.92,3.90,3.84,3.82,3.87,3.89,Cumlaude
3.40,3.98,2.47,3.31,2.18,2.14,2.91,Sangat Memuaskan
3.73,3.73,3.70,3.80,3.79,3.87,3.77,Cumlaude
3.81,3.72,3.54,3.89,3.87,3.83,3.78,Cumlaude
3.58,3.60,3.63,3.50,3.64,3.73,3.61,Cumlaude
3.69,3.75,3.66,3.92,3.62,3.93,3.76,Cumlaude
3.79,2.54,2.86,3.61,3.37,2.22,3.06,Sangat Memuaskan
3.86,3.61,3.84,3.50,3.93,3.64,3.73,Cumlaude
3.68,3.84,3.59,3.78,3.88,3.59,3.73,Cumlaude
3.52,3.59,3.83,3.91,3.70,3.60,3.69,Cumlaude
3.55,3.86,3.61,3.63,3.55,3.68,3.65,Cumlaude
3.51,2.21,2.02,3.19,3.10,3.72,2.96,Sangat Memuaskan
3.51,3.54,3.92,3.66,3.65,3.83,3.69,Cumlaude
3.74,3.99,3.93,3.54,3.83,3.67,3.78,Cumlaude
3.63,3.64,3.71,3.87,3.56,3.73,3.69,Cumlaude
3.86,3.80,3.91,3.62,3.70,3.53,3.74,Cumlaude
3.18,2.29,2.46,2.54,2.53,2.23,2.54,Memuaskan
3.74,3.95,3.53,3.59,3.66,3.72,3.70,Cumlaude
4.00,3.57,3.86,3.87,3.54,3.73,3.76,Cumlaude
3.92,3.60,3.72,3.63,3.61,3.62,3.68,Cumlaude
3.81,3.66,3.59,3.60,3.71,3.78,3.69,Cumlaude
3.46,2.53,2.21,2.33,2.70,2.73,2.66,Memuaskan
3.95,3.62,3.67,3.62,3.62,3.80,3.71,Cumlaude
3.74,3.63,3.58,3.66,3.84,3.65,3.68,Cumlaude
3.68,3.68,3.66,3.58,3.74,3.88,3.70,Cumlaude
3.84,3.61,3.64,3.63,3.79,3.53,3.68,Cumlaude
3.64,2.87,3.89,3.96,2.99,3.13,3.41,Sangat Memuaskan
3.79,3.89,3.66,3.72,3.81,3.66,3.76,Cumlaude
3.63,3.65,3.52,3.60,3.59,3.87,3.64,Cumlaude
3.92,3.55,3.83,3.57,3.96,3.71,3.76,Cumlaude
3.77,3.52,3.61,3.78,3.70,3.71,3.68,Cumlaude
3.35,3.31,3.39,3.70,2.88,3.56,3.36,Sangat Memuaskan
3.89,3.51,3.72,3.82,3.92,3.70,3.76,Cumlaude
3.77,3.69,3.52,3.63,3.89,3.63,3.69,Cumlaude
3.82,3.82,3.82,3.81,3.50,3.61,3.73,Cumlaude
3.52,3.56,3.81,3.66,3.80,3.96,3.72,Cumlaude
3.83,2.02,3.56,2.73,3.07,3.47,3.11,Sangat Memuaskan
3.96,3.68,3.58,3.54,3.81,3.65,3.70,Cumlaude
3.86,3.67,3.64,3.54,3.93,3.84,3.75,Cumlaude
3.58,3.51,3.58,3.74,3.93,3.71,3.67,Cumlaude
3.70,3.63,3.83,3.73,3.84,3.96,3.78,Cumlaude
3.13,3.68,2.40,2.52,2.98,3.82,3.09,Sangat Memuaskan
3.93,3.56,3.78,3.99,3.84,3.84,3.82,Cumlaude
3.74,3.55,3.91,3.73,3.86,3.53,3.72,Cumlaude
3.79,3.86,3.87,3.74,3.72,3.68,3.78,Cumlaude
3.75,3.74,3.67,3.79,3.53,3.55,3.67,Cumlaude
3.80,2.31,2.79,3.07,2.20,3.39,2.93,Sangat Memuaskan
3.65,3.77,3.80,3.59,3.62,3.61,3.67,Cumlaude
3.80,3.90,3.52,3.95,3.69,3.72,3.76,Cumlaude
3.90,3.98,3.53,3.94,3.51,3.88,3.79,Cumlaude
3.58,3.96,3.69,3.95,3.76,3.66,3.77,Cumlaude
3.38,3.67,2.43,2.57,3.94,3.75,3.29,Sangat Memuaskan
3.65,4.00,3.67,3.69,3.54,3.51,3.68,Cumlaude
3.75,3.79,3.82,3.79,3.93,3.87,3.83,Cumlaude
3.79,3.95,3.66,3.99,3.68,3.54,3.77,Cumlaude
3.54,3.59,3.99,3.73,3.88,3.59,3.72,Cumlaude
3.76,3.46,2.46,3.29,2.26,2.02,2.87,Sangat Memuaskan
3.82,3.74,3.55,3.99,3.68,3.76,3.76,Cumlaude
3.96,3.62,3.72,3.83,3.93,3.80,3.81,Cumlaude
3.79,3.70,3.82,3.82,3.98,3.67,3.80,Cumlaude
3.82,3.57,3.55,3.58,3.62,3.94,3.68,Cumlaude
3.96,2.72,2.46,2.95,3.04,2.81,2.99,Sangat Memuaskan
3.84,3.58,3.58,3.87,3.91,3.72,3.75,Cumlaude
3.64,3.52,3.56,3.80,3.78,3.82,3.69,Cumlaude
3.65,3.73,3.53,3.76,3.64,3.99,3.72,Cumlaude
3.66,3.82,3.96,3.62,3.84,3.84,3.79,Cumlaude
3.99,3.36,3.16,2.45,2.08,2.78,2.97,Sangat Memuaskan
3.97,3.60,3.78,3.52,3.58,3.54,3.67,Cumlaude
3.86,3.88,3.60,3.53,3.77,3.71,3.72,Cumlaude
3.71,3.84,3.93,3.83,3.89,3.73,3.82,Cumlaude
3.88,3.68,3.51,3.51,3.59,3.63,3.63,Cumlaude
3.89,2.86,2.96,3.10,2.91,2.80,3.09,Sangat Memuaskan
3.70,3.67,3.67,4.00,3.73,3.67,3.74,Cumlaude
3.83,3.53,3.80,3.60,3.68,3.97,3.73,Cumlaude
3.58,4.00,3.70,3.82,3.79,3.94,3.80,Cumlaude
3.56,3.81,3.80,3.50,3.55,3.69,3.65,Cumlaude
3.40,2.82,2.37,3.11,3.19,2.23,2.86,Sangat Memuaskan
3.61,3.90,3.63,3.55,3.62,3.84,3.69,Cumlaude
3.60,3.97,3.92,3.98,3.73,3.54,3.79,Cumlaude
3.54,3.98,3.73,3.70,3.90,3.91,3.79,Cumlaude
3.85,3.75,4.00,3.55,3.73,3.88,3.79,Cumlaude
3.57,2.60,3.01,2.79,3.39,3.10,3.08,Sangat Memuaskan
3.94,3.94,3.67,3.57,3.52,3.90,3.76,Cumlaude
4.00,3.52,3.84,3.53,3.58,3.76,3.70,Cumlaude
3.51,3.66,3.74,3.58,3.89,3.59,3.66,Cumlaude
3.87,3.65,3.62,3.60,3.72,3.54,3.67,Cumlaude
3.53,2.12,3.39,3.75,3.38,3.60,3.30,Sangat Memuaskan
3.76,3.68,3.72,3.87,3.61,3.73,3.73,Cumlaude
3.72,3.86,3.67,3.58,3.61,3.67,3.68,Cumlaude
3.84,3.57,3.52,3.92,3.97,3.85,3.78,Cumlaude
3.51,3.67,3.55,3.93,3.82,3.51,3.66,Cumlaude
3.75,3.67,2.40,3.77,3.78,3.84,3.53,Cumlaude
3.56,3.74,3.54,3.95,3.96,3.93,3.78,Cumlaude
3.81,3.69,3.94,3.78,3.94,3.54,3.78,Cumlaude
3.89,3.86,3.94,3.78,3.69,3.75,3.82,Cumlaude
3.78,3.93,3.55,3.80,3.77,3.54,3.73,Cumlaude
3.05,3.44,2.29,3.84,2.90,3.00,3.09,Sangat Memuaskan
3.89,3.99,3.96,3.69,3.51,3.54,3.76,Cumlaude
3.65,3.57,3.78,3.50,3.70,3.63,3.64,Cumlaude
3.62,3.97,3.53,3.74,3.84,3.80,3.75,Cumlaude
3.57,3.63,3.78,3.64,3.51,3.81,3.66,Cumlaude
3.01,2.85,3.40,2.76,2.30,2.57,2.82,Sangat Memuaskan
3.58,3.50,3.99,3.59,3.74,3.52,3.65,Cumlaude
3.64,3.58,3.68,3.64,3.89,3.86,3.72,Cumlaude
3.73,3.87,3.69,3.72,3.76,3.86,3.77,Cumlaude
3.74,3.93,3.92,3.98,3.69,3.69,3.83,Cumlaude
3.33,3.57,3.04,2.71,2.25,2.73,2.94,Sangat Memuaskan
3.79,3.66,3.95,3.78,3.74,3.81,3.79,Cumlaude
3.61,3.74,3.55,3.51,3.98,3.58,3.66,Cumlaude
3.85,3.57,3.88,3.95,3.79,3.98,3.84,Cumlaude
3.78,3.66,3.74,3.95,3.98,3.96,3.85,Cumlaude
3.38,2.03,2.20,2.23,3.87,3.98,2.95,Sangat Memuaskan
3.53,3.62,3.69,3.93,3.69,3.64,3.69,Cumlaude
3.66,3.60,3.88,3.97,3.55,3.66,3.72,Cumlaude
3.60,3.81,3.72,3.67,3.78,3.68,3.71,Cumlaude
3.74,3.83,3.55,3.86,3.63,3.93,3.75,Cumlaude
3.57,2.18,3.34,2.75,2.62,2.73,2.86,Sangat Memuaskan
3.71,3.76,3.71,3.56,3.73,3.59,3.68,Cumlaude
3.78,3.81,3.99,3.55,3.70,3.99,3.80,Cumlaude
3.56,3.72,3.99,3.60,3.91,3.62,3.73,Cumlaude
3.97,3.51,3.98,3.58,3.60,3.52,3.69,Cumlaude
3.38,2.04,3.37,2.03,3.69,2.38,2.82,Sangat Memuaskan
3.77,3.79,3.66,3.98,3.67,3.59,3.74,Cumlaude
3.88,3.77,3.55,3.79,3.66,3.60,3.71,Cumlaude
3.71,3.62,3.52,3.70,3.85,3.65,3.67,Cumlaude
3.91,3.73,3.62,3.58,3.77,3.50,3.69,Cumlaude
3.11,3.76,3.66,3.00,2.13,2.54,3.04,Sangat Memuaskan
3.69,3.69,3.95,3.60,3.61,3.63,3.70,Cumlaude
3.80,3.83,3.62,3.98,3.63,3.78,3.77,Cumlaude
3.73,3.88,3.99,3.64,3.96,3.89,3.85,Cumlaude
3.62,3.64,3.72,3.56,3.68,3.80,3.67,Cumlaude
3.02,2.66,2.34,2.08,3.91,3.11,2.85,Sangat Memuaskan
3.53,3.79,3.86,3.51,3.64,3.57,3.65,Cumlaude
3.79,3.81,3.81,3.82,3.56,3.79,3.76,Cumlaude
3.76,3.96,3.56,3.55,3.77,3.93,3.75,Cumlaude
3.76,3.90,3.78,3.73,3.54,3.99,3.78,Cumlaude
3.28,3.80,3.12,2.53,3.05,3.45,3.21,Sangat Memuaskan
3.83,3.96,3.96,3.56,3.61,3.82,3.79,Cumlaude
3.88,3.57,3.70,3.71,3.73,3.73,3.72,Cumlaude
3.88,3.58,3.91,3.83,3.99,3.73,3.82,Cumlaude
3.96,3.91,3.86,3.78,3.73,3.62,3.81,Cumlaude
3.44,2.96,2.20,2.10,2.79,2.87,2.73,Memuaskan
3.57,3.68,3.98,3.91,3.83,3.64,3.77,Cumlaude
3.53,4.00,3.80,3.83,3.76,3.96,3.81,Cumlaude
3.62,3.67,3.79,3.93,3.95,3.94,3.81,Cumlaude
